area_name,buildings_count
муниципальный округ Академический,344
муниципальный округ Алексеевский,212
муниципальный округ Алтуфьевский,114
муниципальный округ Арбат,134
муниципальный округ Аэропорт,186
муниципальный округ Бабушкинский,251
муниципальный округ Басманный,635
муниципальный округ Беговой,2
муниципальный округ Бескудниковский,180
муниципальный округ Бибирево,196
муниципальный округ Бирюлево Восточное,205
муниципальный округ Бирюлево Западное,126
муниципальный округ Богородское,179
муниципальный округ Братеево,88
муниципальный округ Бутырский,205
муниципальный округ Вешняки,171
муниципальный округ Внуково,102
муниципальный округ Войковский,245
муниципальный округ Восточное Дегунино,135
муниципальный округ Восточное Измайлово,78
муниципальный округ Восточный,67
муниципальный округ Выхино-Жулебино,411
муниципальный округ Гагаринский,146
муниципальный округ Головинский,326
муниципальный округ Гольяново,343
муниципальный округ Даниловский,334
муниципальный округ Дмитровский,191
муниципальный округ Донской,173
муниципальный округ Дорогомилово,157
муниципальный округ Замоскворечье,283
муниципальный округ Западное Дегунино,67
муниципальный округ Зюзино,390
муниципальный округ Зябликово,132
муниципальный округ Ивановское,149
муниципальный округ Измайлово,407
муниципальный округ Капотня,75
муниципальный округ Коньково,221
муниципальный округ Коптево,309
муниципальный округ Косино-Ухтомский,38
муниципальный округ Котловка,236
муниципальный округ Красносельский,173
муниципальный округ Крылатское,77
муниципальный округ Крюково,165
муниципальный округ Кузьминки,427
муниципальный округ Кунцево,452
муниципальный округ Куркино,190
муниципальный округ Левобережный,138
муниципальный округ Лефортово,241
муниципальный округ Лианозово,139
муниципальный округ Ломоносовский,190
муниципальный округ Лосиноостровский,205
муниципальный округ Люблино,441
муниципальный округ Марфино,142
муниципальный округ Марьина роща,193
муниципальный округ Марьино,133
муниципальный округ Матушкино,123
муниципальный округ Метрогородок,133
муниципальный округ Мещанский,295
муниципальный округ Митино,220
муниципальный округ Можайский,402
муниципальный округ Москворечье-Сабурово,141
муниципальный округ Нагатино-Садовники,172
муниципальный округ Нагатинский затон,228
муниципальный округ Нагорный,206
муниципальный округ Некрасовка,66
муниципальный округ Нижегородский,173
муниципальный округ Ново-Переделкино,136
муниципальный округ Новогиреево,259
муниципальный округ Новокосино,159
муниципальный округ Обручевский,150
муниципальный округ Орехово-Борисово Северное,130
муниципальный округ Орехово-Борисово Южное,194
муниципальный округ Останкинский,166
муниципальный округ Отрадное,262
муниципальный округ Очаково-Матвеевское,262
муниципальный округ Перово,3
муниципальный округ Печатники,17
муниципальный округ Покровское-Стрешнево,188
муниципальный округ Преображенское,181
муниципальный округ Пресненский,698
муниципальный округ Проспект Вернадского,176
муниципальный округ Раменки,252
муниципальный округ Ростокино,133
муниципальный округ Рязанский,307
муниципальный округ Савелки,86
муниципальный округ Савеловский,240
муниципальный округ Свиблово,162
муниципальный округ Северное Бутово,162
муниципальный округ Северное Измайлово,313
муниципальный округ Северное Медведково,216
муниципальный округ Северное Тушино,279
муниципальный округ Северный,186
муниципальный округ Силино,47
муниципальный округ Сокол,206
муниципальный округ Соколиная гора,330
муниципальный округ Сокольники,22
муниципальный округ Солнцево,230
муниципальный округ Старое Крюково,60
муниципальный округ Строгино,159
муниципальный округ Таганский,402
муниципальный округ Тверской,473
муниципальный округ Текстильщики,301
муниципальный округ Теплый Стан,141
муниципальный округ Тимирязевский,256
муниципальный округ Тропарево-Никулино,171
муниципальный округ Филевский парк,218
муниципальный округ Фили-Давыдково,208
муниципальный округ Хамовники,486
муниципальный округ Ховрино,208
муниципальный округ Хорошево-Мневники,470
муниципальный округ Хорошевский,202
муниципальный округ Царицыно,331
муниципальный округ Черемушки,320
муниципальный округ Чертаново Северное,99
муниципальный округ Чертаново Центральное,48
муниципальный округ Чертаново Южное,201
муниципальный округ Щукино,84
муниципальный округ Южное Бутово,463
муниципальный округ Южное Медведково,173
муниципальный округ Южное Тушино,320
муниципальный округ Южнопортовый,200
муниципальный округ Якиманка,105
муниципальный округ Ярославский,177
муниципальный округ Ясенево,152
