,area_id,full_address,city,address,street_prefix,street_name,building,house_id,area_name,house_year
9303,2281050,г Москва б-р Покровский д.14/5,Москва,б-р Покровский д.14/5,б-р,Покровский ,д.14/5,8104093,муниципальный округ Басманный,1927
9304,2281050,г Москва б-р Покровский д.14/6 строение 1,Москва,б-р Покровский д.14/6 строение 1,б-р,Покровский ,д.14/6 строение 1,8104094,муниципальный округ Басманный,1915
9305,2281050,г Москва б-р Покровский д.16/10 строение 1,Москва,б-р Покровский д.16/10 строение 1,б-р,Покровский ,д.16/10 строение 1,8104099,муниципальный округ Басманный,1860
9306,2281050,г Москва б-р Покровский д.16_18 строение 4_4А,Москва,б-р Покровский д.16_18 строение 4_4А,б-р,Покровский ,д.16_18 строение 4_4А,8104106,муниципальный округ Басманный,1860
9307,2281050,г Москва б-р Покровский д.18/15 строение 2,Москва,б-р Покровский д.18/15 строение 2,б-р,Покровский ,д.18/15 строение 2,8104113,муниципальный округ Басманный,1860
9308,2281050,г Москва б-р Покровский д.4/17 строение 10,Москва,б-р Покровский д.4/17 строение 10,б-р,Покровский ,д.4/17 строение 10,7690637,муниципальный округ Басманный,2001
9309,2281050,г Москва б-р Покровский д.4/17 строение 6,Москва,б-р Покровский д.4/17 строение 6,б-р,Покровский ,д.4/17 строение 6,8104117,муниципальный округ Басманный,1955
9310,2281050,г Москва б-р Покровский д.4/17 строение 7,Москва,б-р Покровский д.4/17 строение 7,б-р,Покровский ,д.4/17 строение 7,8104122,муниципальный округ Басманный,1893
9311,2281050,г Москва б-р Покровский д.8 строение 2,Москва,б-р Покровский д.8 строение 2,б-р,Покровский ,д.8 строение 2,8104128,муниципальный округ Басманный,1900
9314,2281050,г Москва б-р Чистопрудный д.11 строение 1,Москва,б-р Чистопрудный д.11 строение 1,б-р,Чистопрудный ,д.11 строение 1,8103944,муниципальный округ Басманный,1917
9315,2281050,г Москва б-р Чистопрудный д.11 строение 2,Москва,б-р Чистопрудный д.11 строение 2,б-р,Чистопрудный ,д.11 строение 2,8103950,муниципальный округ Басманный,1870
